batsman,matches_played,total_runs,balls_faced,strike_rate,sixes,fours,cluster
AB de Villiers,155,4792,3217,148.95865713397575,234,381,-1
AM Rahane,140,3933,3325,118.28571428571428,76,416,-1
AT Rayudu,149,3659,2970,123.19865319865319,132,308,-1
BB McCullum,109,2880,2267,127.0401411557124,130,293,0
CH Gayle,130,4762,3338,142.6602756141402,348,383,-1
DA Warner,141,5235,3809,137.43764767655554,193,509,-1
G Gambhir,151,4217,3524,119.66515323496027,59,492,-1
KA Pollard,144,3023,2107,143.47413383958235,198,196,-1
KD Karthik,175,3796,3004,126.36484687083889,104,374,-1
M Vijay,105,2619,2208,118.61413043478262,91,247,0
MK Pandey,134,3268,2772,117.8932178932179,93,288,-1
MS Dhoni,182,4632,3493,132.60807328943602,216,313,-1
PA Patel,136,2848,2442,116.62571662571663,49,365,-1
RG Sharma,194,5230,4088,127.93542074363992,214,458,-1
RV Uthappa,182,4607,3658,125.94313832695462,163,454,-1
S Dhawan,175,5197,4208,123.50285171102662,109,591,-1
SK Raina,189,5368,4041,132.83840633506557,194,493,-1
SR Watson,141,3874,2888,134.14127423822714,190,376,-1
SV Samson,102,2584,1970,131.16751269035532,115,191,0
V Kohli,183,5877,4605,127.62214983713356,202,504,-1
V Sehwag,104,2728,1833,148.82705946535734,106,334,0
YK Pathan,153,3204,2330,137.5107296137339,159,262,-1
Yuvraj Singh,126,2750,2205,124.71655328798185,149,217,-1
